選挙回次	選挙期日	選挙期日和暦	任期開始日	任期開始日和暦	任期満了日	任期満了日和暦
1	1947-04-20T00:00:00+09:00	昭和22年4月20日	1947-05-03T00:00:00+09:00	昭和22年5月3日	1953-05-02T23:59:59.999+09:00	昭和28年5月2日
2	1950-06-04T00:00:00+09:00	昭和25年6月4日	1950-06-04T00:00:00+09:00	昭和25年6月4日	1956-06-03T23:59:59.999+09:00	昭和31年6月3日
3	1953-04-24T00:00:00+09:00	昭和28年4月24日	1953-05-03T00:00:00+09:00	昭和28年5月3日	1959-05-02T23:59:59.999+09:00	昭和34年5月2日
4	1956-07-08T00:00:00+09:00	昭和31年7月8日	1956-07-08T00:00:00+09:00	昭和31年7月8日	1962-07-07T23:59:59.999+09:00	昭和37年7月7日
5	1959-06-02T00:00:00+09:00	昭和34年6月2日	1959-06-02T00:00:00+09:00	昭和34年6月2日	1965-06-01T23:59:59.999+09:00	昭和40年6月1日
6	1962-07-01T00:00:00+09:00	昭和37年7月1日	1962-07-08T00:00:00+09:00	昭和37年7月8日	1968-07-07T23:59:59.999+09:00	昭和43年7月7日
7	1965-07-04T00:00:00+09:00	昭和40年7月4日	1965-07-04T00:00:00+09:00	昭和40年7月4日	1971-07-03T23:59:59.999+09:00	昭和46年7月3日
8	1968-07-07T00:00:00+09:00	昭和43年7月7日	1968-07-08T00:00:00+09:00	昭和43年7月8日	1974-07-07T23:59:59.999+09:00	昭和49年7月7日
9	1971-06-27T00:00:00+09:00	昭和46年6月27日	1971-07-04T00:00:00+09:00	昭和46年7月4日	1977-07-03T23:59:59.999+09:00	昭和52年7月3日
10	1974-07-07T00:00:00+09:00	昭和49年7月7日	1974-07-08T00:00:00+09:00	昭和49年7月8日	1980-07-07T23:59:59.999+09:00	昭和55年7月7日
11	1977-07-10T00:00:00+09:00	昭和52年7月10日	1977-07-10T00:00:00+09:00	昭和52年7月10日	1983-07-09T23:59:59.999+09:00	昭和58年7月9日
12	1980-06-22T00:00:00+09:00	昭和55年6月22日	1980-07-08T00:00:00+09:00	昭和55年7月8日	1986-07-07T23:59:59.999+09:00	昭和61年7月7日
13	1983-06-26T00:00:00+09:00	昭和58年6月26日	1983-07-10T00:00:00+09:00	昭和58年7月10日	1989-07-09T23:59:59.999+09:00	平成元年7月9日
14	1986-07-06T00:00:00+09:00	昭和61年7月6日	1986-07-08T00:00:00+09:00	昭和61年7月8日	1992-07-07T23:59:59.999+09:00	平成4年7月7日
15	1989-07-23T00:00:00+09:00	平成元年7月23日	1989-07-23T00:00:00+09:00	平成元年7月23日	1995-07-22T23:59:59.999+09:00	平成7年7月22日
16	1992-07-26T00:00:00+09:00	平成4年7月26日	1992-07-26T00:00:00+09:00	平成4年7月26日	1998-07-25T23:59:59.999+09:00	平成10年7月25日
17	1995-07-23T00:00:00+09:00	平成7年7月23日	1995-07-23T00:00:00+09:00	平成7年7月23日	2001-07-22T23:59:59.999+09:00	平成13年7月22日
18	1998-07-12T00:00:00+09:00	平成10年7月12日	1998-07-26T00:00:00+09:00	平成10年7月26日	2004-07-25T23:59:59.999+09:00	平成16年7月25日
19	2001-07-29T00:00:00+09:00	平成13年7月29日	2001-07-29T00:00:00+09:00	平成13年7月29日	2007-07-28T23:59:59.999+09:00	平成19年7月28日
20	2004-07-11T00:00:00+09:00	平成16年7月11日	2004-07-26T00:00:00+09:00	平成16年7月26日	2010-07-25T23:59:59.999+09:00	平成22年7月25日
21	2007-07-29T00:00:00+09:00	平成19年7月29日	2007-07-29T00:00:00+09:00	平成19年7月29日	2013-07-28T23:59:59.999+09:00	平成25年7月28日
22	2010-07-11T00:00:00+09:00	平成22年7月11日	2010-07-26T00:00:00+09:00	平成22年7月26日	2016-07-25T23:59:59.999+09:00	平成28年7月25日
23	2013-07-21T00:00:00+09:00	平成25年7月21日	2013-07-29T00:00:00+09:00	平成25年7月29日	2019-07-28T23:59:59.999+09:00	令和元年7月28日
24	2016-07-10T00:00:00+09:00	平成28年7月10日	2016-07-26T00:00:00+09:00	平成28年7月26日	2022-07-25T23:59:59.999+09:00	令和4年7月25日
25	2019-07-21T00:00:00+09:00	令和元年7月21日	2019-07-29T00:00:00+09:00	令和元年7月29日	2025-07-28T23:59:59.999+09:00	令和7年7月28日
26	2022-07-10T00:00:00+09:00	令和4年7月10日	2022-07-26T00:00:00+09:00	令和4年7月26日	2028-07-25T23:59:59.999+09:00	令和10年7月25日
