総選挙回次	初回国会回次	初回国会種別	初回国会開始年月日	初回国会開始年月日和暦	最終国会回次	最終国会種別	最終国会終了年月日	最終国会終了年月日和暦	任期開始年月日	任期開始年月日和暦
23	1	特別会	1947-05-20T00:00:00+09:00	昭和22年05月20日	4	常会	1948-12-23T23:59:59.999+09:00	昭和23年12月23日	1947-04-25T00:00:00+09:00	昭和22年04月25日
24	5	特別会	1949-02-11T00:00:00+09:00	昭和24年02月11日	14	常会	1952-08-28T23:59:59.999+09:00	昭和27年08月28日	1949-01-23T00:00:00+09:00	昭和24年01月23日
25	15	特別会	1952-10-24T00:00:00+09:00	昭和27年10月24日	15	特別会	1953-03-14T23:59:59.999+09:00	昭和28年03月14日	1952-10-01T00:00:00+09:00	昭和27年10月01日
26	16	特別会	1953-05-18T00:00:00+09:00	昭和28年05月18日	21	常会	1955-01-24T23:59:59.999+09:00	昭和30年01月24日	1953-04-19T00:00:00+09:00	昭和28年04月19日
27	22	特別会	1955-03-18T00:00:00+09:00	昭和30年03月18日	28	常会	1958-04-25T23:59:59.999+09:00	昭和33年04月25日	1955-02-27T00:00:00+09:00	昭和30年02月27日
28	29	特別会	1958-06-10T00:00:00+09:00	昭和33年06月10日	36	臨時会	1960-10-24T23:59:59.999+09:00	昭和35年10月24日	1958-05-22T00:00:00+09:00	昭和33年05月22日
29	37	特別会	1960-12-05T00:00:00+09:00	昭和35年12月05日	44	臨時会	1963-10-23T23:59:59.999+09:00	昭和38年10月23日	1960-11-20T00:00:00+09:00	昭和35年11月20日
30	45	特別会	1963-12-04T00:00:00+09:00	昭和38年12月04日	54	常会	1966-12-27T23:59:59.999+09:00	昭和41年12月27日	1963-11-21T00:00:00+09:00	昭和38年11月21日
31	55	特別会	1967-02-15T00:00:00+09:00	昭和42年02月15日	62	臨時会	1969-12-02T23:59:59.999+09:00	昭和44年12月02日	1967-01-29T00:00:00+09:00	昭和42年01月29日
32	63	特別会	1970-01-14T00:00:00+09:00	昭和45年01月14日	70	臨時会	1972-11-13T23:59:59.999+09:00	昭和47年11月13日	1969-12-27T00:00:00+09:00	昭和44年12月27日
33	71	特別会	1972-12-22T00:00:00+09:00	昭和47年12月22日	78	臨時会	1976-11-04T23:59:59.999+09:00	昭和51年11月04日	1972-12-10T00:00:00+09:00	昭和47年12月10日
34	79	臨時会	1976-12-24T00:00:00+09:00	昭和51年12月24日	88	臨時会	1979-09-07T23:59:59.999+09:00	昭和54年09月07日	1976-12-05T00:00:00+09:00	昭和51年12月05日
35	89	特別会	1979-10-30T00:00:00+09:00	昭和54年10月30日	91	常会	1980-05-19T23:59:59.999+09:00	昭和55年05月19日	1979-10-07T00:00:00+09:00	昭和54年10月07日
36	92	特別会	1980-07-17T00:00:00+09:00	昭和55年07月17日	100	臨時会	1983-11-28T23:59:59.999+09:00	昭和58年11月28日	1980-06-22T00:00:00+09:00	昭和55年06月22日
37	101	特別会	1983-12-26T00:00:00+09:00	昭和58年12月26日	105	臨時会	1986-06-02T23:59:59.999+09:00	昭和61年06月02日	1983-12-18T00:00:00+09:00	昭和58年12月18日
38	106	特別会	1986-07-22T00:00:00+09:00	昭和61年07月22日	117	常会	1990-01-24T23:59:59.999+09:00	平成02年01月24日	1986-07-06T00:00:00+09:00	昭和61年07月06日
39	118	特別会	1990-02-27T00:00:00+09:00	平成02年02月27日	126	常会	1993-06-18T23:59:59.999+09:00	平成05年06月18日	1990-02-18T00:00:00+09:00	平成02年02月18日
40	127	特別会	1993-08-05T00:00:00+09:00	平成05年08月05日	137	臨時会	1996-09-27T23:59:59.999+09:00	平成08年09月27日	1993-07-18T00:00:00+09:00	平成05年07月18日
41	138	特別会	1996-11-07T00:00:00+09:00	平成08年11月07日	147	常会	2000-06-02T23:59:59.999+09:00	平成12年06月02日	1996-10-20T00:00:00+09:00	平成08年10月20日
42	148	特別会	2000-07-04T00:00:00+09:00	平成12年07月04日	157	臨時会	2003-10-10T23:59:59.999+09:00	平成15年10月10日	2000-06-25T00:00:00+09:00	平成12年06月25日
43	158	特別会	2003-11-19T00:00:00+09:00	平成15年11月19日	162	常会	2005-08-08T23:59:59.999+09:00	平成17年08月08日	2003-11-09T00:00:00+09:00	平成15年11月09日
44	163	特別会	2005-09-21T00:00:00+09:00	平成17年09月21日	171	常会	2009-07-21T23:59:59.999+09:00	平成21年07月21日	2005-09-11T00:00:00+09:00	平成17年09月11日
45	172	特別会	2009-09-16T00:00:00+09:00	平成21年09月16日	181	臨時会	2012-11-16T23:59:59.999+09:00	平成24年11月16日	2009-08-30T00:00:00+09:00	平成21年08月30日
46	182	特別会	2012-12-26T00:00:00+09:00	平成24年12月26日	187	臨時会	2014-11-21T23:59:59.999+09:00	平成26年11月21日	2012-12-16T00:00:00+09:00	平成24年12月16日
47	188	特別会	2014-12-24T00:00:00+09:00	平成26年12月24日	194	臨時会	2017-09-28T23:59:59.999+09:00	平成29年09月28日	2014-12-14T00:00:00+09:00	平成26年12月14日
48	195	特別会	2017-11-01T00:00:00+09:00	平成29年11月01日	205	臨時会	2021-10-14T23:59:59.999+09:00	令和03年10月14日	2017-10-22T00:00:00+09:00	平成29年10月22日
49	206	特別会	2021-11-10T00:00:00+09:00	令和03年11月10日					2021-10-31T00:00:00+09:00	令和03年10月31日
